Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HPTS_avg_5,APTS_avg_5,H_gd_5,A_gd_5,H_eff_5,A_eff_5,HST_avg_5,AST_avg_5,target,H_status,A_status,H_H2H,A_H2H
I1,27/08/05,Fiorentina,Sampdoria,2,1,H,2,0,H,15,9,9,4,18,23,9,3,1,4,0,0,,,,,,,0.0,0.0,0,,,,
I1,27/08/05,Livorno,Lecce,2,1,H,1,1,D,17,6,7,5,27,21,9,2,2,3,0,0,,,,,,,0.0,0.0,0,,,,
I1,28/08/05,Ascoli,Milan,1,1,D,0,0,D,8,16,3,9,22,16,0,5,2,1,0,0,,,,,,,0.0,0.0,1,,,,
I1,28/08/05,Inter,Treviso,3,0,H,1,0,H,16,7,9,3,13,20,6,1,1,3,0,0,,,,,,,0.0,0.0,0,,,,
I1,28/08/05,Juventus,Chievo,1,0,H,1,0,H,16,2,7,0,16,12,6,2,1,2,0,0,,,,,,,0.0,0.0,0,,,,
I1,28/08/05,Lazio,Messina,1,0,H,1,0,H,7,16,4,7,18,20,6,10,3,1,0,0,,,,,,,0.0,0.0,0,,,,
I1,28/08/05,Parma,Palermo,1,1,D,0,1,A,8,14,3,9,18,9,3,8,3,0,0,0,,,,,,,0.0,0.0,1,,,,
I1,28/08/05,Reggina,Roma,0,3,A,0,1,A,5,13,3,9,19,18,2,4,0,0,1,0,,,,,,,0.0,0.0,2,,,,
I1,28/08/05,Siena,Cagliari,2,1,H,1,1,D,10,9,6,6,21,19,4,4,2,2,1,0,,,,,,,0.0,0.0,0,,,,
I1,28/08/05,Udinese,Empoli,1,0,H,1,0,H,12,8,8,4,20,12,6,5,2,1,0,0,,,,,,,0.0,0.0,0,,,,
I1,10/09/05,Milan,Siena,3,1,H,2,1,H,21,7,11,3,7,16,3,4,1,2,0,0,,,,,,,0.0,0.0,0,,,,
I1,10/09/05,Palermo,Inter,3,2,H,1,0,H,24,15,13,6,15,14,9,6,2,1,0,0,,,,,,,0.0,0.0,0,,,,
I1,11/09/05,Cagliari,Lazio,1,1,D,1,1,D,9,6,3,3,12,16,6,6,2,2,1,0,,,,,,,0.0,0.0,1,,,,
I1,11/09/05,Chievo,Parma,1,0,H,1,0,H,12,5,8,2,16,15,9,2,1,1,0,0,,,,,,,0.0,0.0,0,,,,
I1,11/09/05,Empoli,Juventus,0,4,A,0,3,A,9,13,1,8,16,23,3,6,1,0,0,0,,,,,,,0.0,0.0,2,,,,
I1,11/09/05,Lecce,Ascoli,0,0,D,0,0,D,9,6,6,4,18,9,9,2,2,3,0,1,,,,,,,0.0,0.0,1,,,,
I1,11/09/05,Messina,Fiorentina,2,2,D,0,2,A,8,12,4,7,19,20,7,7,3,3,0,0,,,,,,,0.0,0.0,1,,,,
